version,topology,graph_name,method,base_method,lambda,adaptive_lambda_initial,n,m,density,avg_degree,max_degree,min_cardinality,max_cardinality,avg_cardinality,family,cardinality_mode,induced_width,max_clique_size,total_fill_edges,peak_factor_entries,peak_factor_log10,final_edge_count,ve_status,ve_runtime,ve_max_observed_entries,ve_factor_ops,ordering_time,total_runtime,order_prefix,status,p,seed,rows,cols,attachment_m,source,benchmark
v2,low_treewidth,chain_n50,min_degree,min_degree,,0.0,50,49,0.04,1.96,2,2,5,3.26,chain,mixed,1,2,0,25,1.3979400086720377,49,ok,0.0013904579973313957,25,148,0.0007660830015083775,0.0021565409988397732,"chain50_0,chain50_1,chain50_2,chain50_3,chain50_4,chain50_49,chain50_48,chain50_47",ok,,,,,,,
v2,low_treewidth,chain_n50,min_fill,min_fill,,0.0,50,49,0.04,1.96,2,2,5,3.26,chain,mixed,1,2,0,25,1.3979400086720377,49,ok,0.0010038339969469234,25,148,0.0013652919878950343,0.0023691259848419577,"chain50_0,chain50_1,chain50_2,chain50_3,chain50_4,chain50_49,chain50_48,chain50_47",ok,,,,,,,
v2,low_treewidth,chain_n50,weighted_min_fill,weighted_min_fill,,0.0,50,49,0.04,1.96,2,2,5,3.26,chain,mixed,1,2,0,25,1.3979400086720377,49,ok,0.0010291670041624457,25,148,0.001655250001931563,0.0026844170060940087,"chain50_0,chain50_1,chain50_2,chain50_3,chain50_4,chain50_49,chain50_48,chain50_47",ok,,,,,,,
v2,low_treewidth,chain_n50,hybrid_degree_lam0.1,hybrid,0.1,0.0,50,49,0.04,1.96,2,2,5,3.26,chain,mixed,1,2,0,25,1.3979400086720377,49,ok,0.0010456250020070001,25,148,0.0044651250063907355,0.005510750008397736,"chain50_0,chain50_1,chain50_2,chain50_3,chain50_4,chain50_49,chain50_48,chain50_47",ok,,,,,,,
v2,low_treewidth,chain_n50,fill_pressure_lam0,fill_pressure,0.0,0.0,50,49,0.04,1.96,2,2,5,3.26,chain,mixed,1,2,0,25,1.3979400086720377,49,ok,0.000997249997453764,25,148,0.004029416013509035,0.005026666010962799,"chain50_0,chain50_1,chain50_2,chain50_3,chain50_4,chain50_49,chain50_48,chain50_47",ok,,,,,,,
v2,low_treewidth,chain_n50,fill_pressure_lam0.01,fill_pressure,0.01,0.0,50,49,0.04,1.96,2,2,5,3.26,chain,mixed,1,2,0,25,1.3979400086720377,49,ok,0.000995208989479579,25,148,0.004077584002516232,0.0050727929919958115,"chain50_0,chain50_1,chain50_2,chain50_3,chain50_4,chain50_49,chain50_48,chain50_47",ok,,,,,,,
v2,low_treewidth,chain_n50,fill_pressure_lam0.05,fill_pressure,0.05,0.0,50,49,0.04,1.96,2,2,5,3.26,chain,mixed,1,2,0,25,1.3979400086720377,49,ok,0.0009963750053429976,25,148,0.003996665996965021,0.0049930410023080185,"chain50_0,chain50_1,chain50_2,chain50_3,chain50_4,chain50_49,chain50_48,chain50_47",ok,,,,,,,
v2,low_treewidth,chain_n50,fill_pressure_lam0.1,fill_pressure,0.1,0.0,50,49,0.04,1.96,2,2,5,3.26,chain,mixed,1,2,0,25,1.3979400086720377,49,ok,0.0010893750004470348,25,148,0.004079125006683171,0.005168500007130206,"chain50_0,chain50_1,chain50_2,chain50_3,chain50_4,chain50_49,chain50_48,chain50_47",ok,,,,,,,
v2,low_treewidth,chain_n50,fill_pressure_lam0.5,fill_pressure,0.5,0.0,50,49,0.04,1.96,2,2,5,3.26,chain,mixed,1,2,0,25,1.3979400086720377,49,ok,0.0010443749924888834,25,148,0.0040277090010931715,0.005072083993582055,"chain50_0,chain50_1,chain50_2,chain50_3,chain50_4,chain50_49,chain50_48,chain50_47",ok,,,,,,,
v2,low_treewidth,chain_n50,fill_pressure_lam1,fill_pressure,1.0,0.0,50,49,0.04,1.96,2,2,5,3.26,chain,mixed,1,2,0,25,1.3979400086720377,49,ok,0.0009917919960571453,25,148,0.004026458002044819,0.005018249998101965,"chain50_0,chain50_1,chain50_2,chain50_3,chain50_4,chain50_49,chain50_48,chain50_47",ok,,,,,,,
